index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial
14,노원구,NE_GRID_1358,1246,1,17,169,18,65.57894737,77,0,4.198388422,0.472858516,0.645444924,0.456354432,0.683912692,0.677570918
14,노원구,NE_GRID_1359,1637,0,26,182,26,60.62962963,107,0,4.121142755,0.460144999,0.693656141,0.391474193,1,0.709360566
14,노원구,NE_GRID_1360,928,0,0,0,0,928,40,0,6.834108739,0.906659857,0.550164433,1,0.426839127,0.620229202
14,노원구,NE_GRID_1361,828,0,14,98,14,55.2,224,0,4.028916757,0.444965937,0.802393424,0.5,0.345998383,0.818553747
14,노원구,NE_GRID_1362,1039,0,29,203,29,34.63333333,242,0,3.573281529,0.369974986,0.813795176,0.372020988,0.516572352,0.867230366
14,노원구,NE_GRID_1363,1083,9,2,539,11,90.25,543,0,4.513602992,0.524738263,0.933187179,0.54120004,0.55214228,0.971462507
14,노원구,NE_GRID_1364,922,0,9,63,9,92.2,641,0,4.534747722,0.528218379,0.957726548,0.574862923,0.421988682,0.97717905
14,노원구,NE_GRID_1365,1083,28,13,3451,41,25.78571429,109,0,3.287868696,0.323000173,0.69637456,0.309896542,0.55214228,0.742464226
14,노원구,NE_GRID_1366,828,0,9,63,9,82.8,35,0,4.428433007,0.510720518,0.530897106,0.574862923,0.345998383,0.571268464
14,노원구,NE_GRID_1367,1083,0,11,77,11,90.25,26,0,4.513602992,0.524738263,0.488277106,0.54120004,0.55214228,0.496972967
14,노원구,NE_GRID_1368,729,0,0,0,0,729,6,0,6.593044534,0.866984185,0.288285924,1,0.265966047,0.293905922
20,광진구,NE_GRID_1378,810,0,5,35,5,135,39,0,4.912654886,0.590416417,0.546506231,0.669179052,0.331447049,0.555205401
20,광진구,NE_GRID_1379,935,0,4,28,4,187,227,0,5.236441963,0.643707075,0.8043557,0.702841936,0.432497979,0.821972519
20,광진구,NE_GRID_1380,1073,4,0,400,4,214.6,278,0,5.373424839,0.66625247,0.834262101,0.702841936,0.544058205,0.874252877
21,성동구,NE_GRID_1381,577,4,0,400,4,115.4,278,0,4.757032535,0.564803235,0.834262101,0.702841936,0.143088116,0.878214095
20,광진구,NE_GRID_1382,477,0,11,77,11,39.75,293,0,3.70745584,0.392058132,0.842020401,0.54120004,0.062247373,0.884741653
21,성동구,NE_GRID_1383,582,0,11,77,11,48.5,293,0,3.90197267,0.424072781,0.842020401,0.54120004,0.147130154,0.885236329
21,성동구,NE_GRID_1384,573,0,1,7,1,286.5,287,0,5.66122286,0.71361985,0.83896566,0.872020988,0.139854487,0.887189071
21,성동구,NE_GRID_1385,643,7,43,959,50,12.60784314,384,0,2.610646328,0.211539192,0.881970966,0.274048607,0.196443007,0.911547382
21,성동구,NE_GRID_1386,643,0,14,50,14,42.86666667,183,0,3.78115473,0.404187901,0.772590951,0.5,0.196443007,0.785987645
21,성동구,NE_GRID_1387,853,0,0,0,0,853,15,0,6.749931194,0.892805454,0.410758072,1,0.366208569,0.426851088
21,성동구,NE_GRID_1388,596,0,0,0,0,596,0,0,6.391917113,0.833881528,0,1,0.158447858,0.043199658
21,성동구,NE_GRID_1389,658,0,0,0,0,658,0,0,6.490723535,0.850143632,0,1,0.208569119,0
19,동대문구,NE_GRID_1390,1562,0,0,0,0,1562,0,0,7.35436233,0.992286053,0,1,0.939369442,0.09536025
19,동대문구,NE_GRID_1391,757,0,2,14,2,252.3333333,454,0,5.534706145,0.692797034,0.906719971,0.797158064,0.288601455,0.85502019
